color,contributionCount,date,weekday
#ebedf0,0,2021-10-11,1
#9be9a8,1,2021-10-12,2
#ebedf0,0,2021-10-13,3
#ebedf0,0,2021-10-14,4
#9be9a8,4,2021-10-15,5
#40c463,8,2021-10-16,6
#40c463,8,2021-10-17,0
#ebedf0,0,2021-10-18,1
#9be9a8,2,2021-10-19,2
#ebedf0,0,2021-10-20,3
#ebedf0,0,2021-10-21,4
#ebedf0,0,2021-10-22,5
#ebedf0,0,2021-10-23,6
#ebedf0,0,2021-10-24,0
#ebedf0,0,2021-10-25,1
#ebedf0,0,2021-10-26,2
#ebedf0,0,2021-10-27,3
#ebedf0,0,2021-10-28,4
#ebedf0,0,2021-10-29,5
#ebedf0,0,2021-10-30,6
#ebedf0,0,2021-10-31,0
#ebedf0,0,2021-11-01,1
#ebedf0,0,2021-11-02,2
#ebedf0,0,2021-11-03,3
#ebedf0,0,2021-11-04,4
#9be9a8,1,2021-11-05,5
#ebedf0,0,2021-11-06,6
#ebedf0,0,2021-11-07,0
#9be9a8,1,2021-11-08,1
#ebedf0,0,2021-11-09,2
#9be9a8,3,2021-11-10,3
#ebedf0,0,2021-11-11,4
#ebedf0,0,2021-11-12,5
#ebedf0,0,2021-11-13,6
#ebedf0,0,2021-11-14,0
#ebedf0,0,2021-11-15,1
#ebedf0,0,2021-11-16,2
#ebedf0,0,2021-11-17,3
#ebedf0,0,2021-11-18,4
#40c463,6,2021-11-19,5
#ebedf0,0,2021-11-20,6
#ebedf0,0,2021-11-21,0
#ebedf0,0,2021-11-22,1
#ebedf0,0,2021-11-23,2
#ebedf0,0,2021-11-24,3
#ebedf0,0,2021-11-25,4
#ebedf0,0,2021-11-26,5
#ebedf0,0,2021-11-27,6
#ebedf0,0,2021-11-28,0
#ebedf0,0,2021-11-29,1
#ebedf0,0,2021-11-30,2
#ebedf0,0,2021-12-01,3
#ebedf0,0,2021-12-02,4
#ebedf0,0,2021-12-03,5
#ebedf0,0,2021-12-04,6
#ebedf0,0,2021-12-05,0
#ebedf0,0,2021-12-06,1
#ebedf0,0,2021-12-07,2
#ebedf0,0,2021-12-08,3
#ebedf0,0,2021-12-09,4
#ebedf0,0,2021-12-10,5
#ebedf0,0,2021-12-11,6
#ebedf0,0,2021-12-12,0
#ebedf0,0,2021-12-13,1
#ebedf0,0,2021-12-14,2
#ebedf0,0,2021-12-15,3
#ebedf0,0,2021-12-16,4
#ebedf0,0,2021-12-17,5
#ebedf0,0,2021-12-18,6
#ebedf0,0,2021-12-19,0
#ebedf0,0,2021-12-20,1
#ebedf0,0,2021-12-21,2
#ebedf0,0,2021-12-22,3
#9be9a8,4,2021-12-23,4
#ebedf0,0,2021-12-24,5
#ebedf0,0,2021-12-25,6
#ebedf0,0,2021-12-26,0
#ebedf0,0,2021-12-27,1
#ebedf0,0,2021-12-28,2
#ebedf0,0,2021-12-29,3
#ebedf0,0,2021-12-30,4
#ebedf0,0,2021-12-31,5
#ebedf0,0,2022-01-01,6
#ebedf0,0,2022-01-02,0
#ebedf0,0,2022-01-03,1
#ebedf0,0,2022-01-04,2
#ebedf0,0,2022-01-05,3
#ebedf0,0,2022-01-06,4
#ebedf0,0,2022-01-07,5
#ebedf0,0,2022-01-08,6
#ebedf0,0,2022-01-09,0
#ebedf0,0,2022-01-10,1
#ebedf0,0,2022-01-11,2
#ebedf0,0,2022-01-12,3
#ebedf0,0,2022-01-13,4
#ebedf0,0,2022-01-14,5
#ebedf0,0,2022-01-15,6
#ebedf0,0,2022-01-16,0
#ebedf0,0,2022-01-17,1
#ebedf0,0,2022-01-18,2
#ebedf0,0,2022-01-19,3
#ebedf0,0,2022-01-20,4
#ebedf0,0,2022-01-21,5
#ebedf0,0,2022-01-22,6
#9be9a8,1,2022-01-23,0
#ebedf0,0,2022-01-24,1
#ebedf0,0,2022-01-25,2
#ebedf0,0,2022-01-26,3
#9be9a8,2,2022-01-27,4
#40c463,5,2022-01-28,5
#ebedf0,0,2022-01-29,6
#ebedf0,0,2022-01-30,0
#9be9a8,3,2022-01-31,1
#40c463,7,2022-02-01,2
#ebedf0,0,2022-02-02,3
#ebedf0,0,2022-02-03,4
#ebedf0,0,2022-02-04,5
#ebedf0,0,2022-02-05,6
#ebedf0,0,2022-02-06,0
#ebedf0,0,2022-02-07,1
#9be9a8,1,2022-02-08,2
#9be9a8,1,2022-02-09,3
#ebedf0,0,2022-02-10,4
#ebedf0,0,2022-02-11,5
#ebedf0,0,2022-02-12,6
#ebedf0,0,2022-02-13,0
#ebedf0,0,2022-02-14,1
#9be9a8,1,2022-02-15,2
#ebedf0,0,2022-02-16,3
#ebedf0,0,2022-02-17,4
#ebedf0,0,2022-02-18,5
#9be9a8,3,2022-02-19,6
#9be9a8,1,2022-02-20,0
#ebedf0,0,2022-02-21,1
#ebedf0,0,2022-02-22,2
#ebedf0,0,2022-02-23,3
#40c463,6,2022-02-24,4
#ebedf0,0,2022-02-25,5
#ebedf0,0,2022-02-26,6
#ebedf0,0,2022-02-27,0
#ebedf0,0,2022-02-28,1
#ebedf0,0,2022-03-01,2
#ebedf0,0,2022-03-02,3
#ebedf0,0,2022-03-03,4
#ebedf0,0,2022-03-04,5
#ebedf0,0,2022-03-05,6
#ebedf0,0,2022-03-06,0
#9be9a8,4,2022-03-07,1
#40c463,6,2022-03-08,2
#9be9a8,2,2022-03-09,3
#ebedf0,0,2022-03-10,4
#9be9a8,3,2022-03-11,5
#40c463,7,2022-03-12,6
#9be9a8,1,2022-03-13,0
#9be9a8,1,2022-03-14,1
#40c463,6,2022-03-15,2
#40c463,5,2022-03-16,3
#ebedf0,0,2022-03-17,4
#ebedf0,0,2022-03-18,5
#40c463,5,2022-03-19,6
#40c463,8,2022-03-20,0
#9be9a8,2,2022-03-21,1
#ebedf0,0,2022-03-22,2
#ebedf0,0,2022-03-23,3
#ebedf0,0,2022-03-24,4
#ebedf0,0,2022-03-25,5
#ebedf0,0,2022-03-26,6
#ebedf0,0,2022-03-27,0
#9be9a8,1,2022-03-28,1
#40c463,8,2022-03-29,2
#9be9a8,4,2022-03-30,3
#ebedf0,0,2022-03-31,4
#ebedf0,0,2022-04-01,5
#40c463,7,2022-04-02,6
#9be9a8,1,2022-04-03,0
#40c463,6,2022-04-04,1
#40c463,6,2022-04-05,2
#ebedf0,0,2022-04-06,3
#9be9a8,4,2022-04-07,4
#40c463,5,2022-04-08,5
#9be9a8,3,2022-04-09,6
#ebedf0,0,2022-04-10,0
#ebedf0,0,2022-04-11,1
#ebedf0,0,2022-04-12,2
#ebedf0,0,2022-04-13,3
#ebedf0,0,2022-04-14,4
#ebedf0,0,2022-04-15,5
#ebedf0,0,2022-04-16,6
#ebedf0,0,2022-04-17,0
#ebedf0,0,2022-04-18,1
#ebedf0,0,2022-04-19,2
#ebedf0,0,2022-04-20,3
#ebedf0,0,2022-04-21,4
#ebedf0,0,2022-04-22,5
#ebedf0,0,2022-04-23,6
#ebedf0,0,2022-04-24,0
#ebedf0,0,2022-04-25,1
#9be9a8,1,2022-04-26,2
#9be9a8,4,2022-04-27,3
#9be9a8,1,2022-04-28,4
#9be9a8,1,2022-04-29,5
#ebedf0,0,2022-04-30,6
#ebedf0,0,2022-05-01,0
#ebedf0,0,2022-05-02,1
#ebedf0,0,2022-05-03,2
#ebedf0,0,2022-05-04,3
#ebedf0,0,2022-05-05,4
#ebedf0,0,2022-05-06,5
#ebedf0,0,2022-05-07,6
#ebedf0,0,2022-05-08,0
#ebedf0,0,2022-05-09,1
#40c463,6,2022-05-10,2
